timestamp;activity;habitacion_acs712_habitaciontv_current_mean;habitacion_acs712_habitaciontv_current_min;habitacion_acs712_habitaciontv_current_max;habitacion_acs712_habitaciontv_current_std;habitacion_acs712_habitaciontv_current_last;habitacion_c1001_habitacion_apnea_events_mean;habitacion_c1001_habitacion_apnea_events_sum;habitacion_c1001_habitacion_apnea_events_max;habitacion_c1001_habitacion_heartbeat_bpm_mean;habitacion_c1001_habitacion_heartbeat_bpm_min;habitacion_c1001_habitacion_heartbeat_bpm_max;habitacion_c1001_habitacion_heartbeat_bpm_std;habitacion_c1001_habitacion_in_bed_mean;habitacion_c1001_habitacion_in_bed_sum;habitacion_c1001_habitacion_in_bed_max;habitacion_c1001_habitacion_large_body_move_mean;habitacion_c1001_habitacion_large_body_move_sum;habitacion_c1001_habitacion_large_body_move_max;habitacion_c1001_habitacion_minor_body_move_mean;habitacion_c1001_habitacion_minor_body_move_sum;habitacion_c1001_habitacion_minor_body_move_max;habitacion_c1001_habitacion_presence_mean;habitacion_c1001_habitacion_presence_sum;habitacion_c1001_habitacion_presence_max;habitacion_c1001_habitacion_respiration_rpm_mean;habitacion_c1001_habitacion_respiration_rpm_min;habitacion_c1001_habitacion_respiration_rpm_max;habitacion_c1001_habitacion_respiration_rpm_std;habitacion_c1001_habitacion_sleep_quality_s_mean;habitacion_c1001_habitacion_sleep_quality_s_min;habitacion_c1001_habitacion_sleep_quality_s_max;habitacion_c1001_habitacion_sleep_quality_s_std;habitacion_c1001_habitacion_sleep_state_min;habitacion_c1001_habitacion_sleep_state_max;habitacion_c1001_habitacion_turnover_count_mean;habitacion_c1001_habitacion_turnover_count_sum;habitacion_c1001_habitacion_turnover_count_max;habitacion_pir_habitacion_1_movement_mean;habitacion_pir_habitacion_1_movement_sum;habitacion_pir_habitacion_1_movement_max;habitacion_c1001_habitacion_sleep_state_mode_or_default_min;habitacion_c1001_habitacion_sleep_state_mode_or_default_max;habitacion_c1001_habitacion_sleep_state_deep_mean;habitacion_c1001_habitacion_sleep_state_deep_sum;habitacion_c1001_habitacion_sleep_state_deep_max;habitacion_c1001_habitacion_sleep_state_light_mean;habitacion_c1001_habitacion_sleep_state_light_sum;habitacion_c1001_habitacion_sleep_state_light_max;habitacion_c1001_habitacion_sleep_state_awake_mean;habitacion_c1001_habitacion_sleep_state_awake_sum;habitacion_c1001_habitacion_sleep_state_awake_max;habitacion_c1001_habitacion_sleep_state_no_presence_mean;habitacion_c1001_habitacion_sleep_state_no_presence_sum;habitacion_c1001_habitacion_sleep_state_no_presence_max
2026-04-19 19:12:30+00:00;ver_tv;0.338542;0.314;0.366;0.018704;0.338;0;0;0;46.875;0;75;37.090152;0.625;15;1;11.083333;266;19;47.25;1134;81;0.625;15;1;10;0;16;7.912566;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0.416667;10;1;0;0;0;0.583333;14;1;0;0;0
2026-04-19 19:13:00+00:00;ver_tv;0.3507;0.333;0.367;0.01071;0.367;0;0;0;75;75;75;0;1;30;1;19;570;19;81;2430;81;1;30;1;16;16;16;0;0;0;0;0;2;2;0;0;0;0.966667;29;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:13:30+00:00;ver_tv;0.344333;0.315;0.366;0.014106;0.345;0;0;0;75;75;75;0;1;30;1;19;570;19;81;2430;81;1;30;1;16;16;16;0;0;0;0;0;2;2;0;0;0;0.833333;25;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:14:00+00:00;ver_tv;0.346767;0.331;0.368;0.009898;0.362;0;0;0;75;75;75;0;1;30;1;19;570;19;81;2430;81;1;30;1;16;16;16;0;0;0;0;0;2;2;0;0;0;1;30;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:14:30+00:00;ver_tv;0.3628;0.346;0.368;0.004262;0.346;0;0;0;75;75;75;0;1;30;1;19;570;19;81;2430;81;1;30;1;16;16;16;0;0;0;0;0;2;2;0;0;0;0.7;21;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:15:00+00:00;ver_tv;0.358;0.342;0.368;0.008196;0.364;0;0;0;75;75;75;0;1;30;1;16.3;489;19;83.7;2511;84;1;30;1;16.933333;16;17;0.253708;0;0;0;0;2;2;0;0;0;0.966667;29;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:15:30+00:00;ver_tv;0.357067;0.339;0.368;0.008132;0.359;0;0;0;75;75;75;0;1;30;1;16;480;16;84;2520;84;1;30;1;17;17;17;0;0;0;0;0;2;2;0;0;0;1;30;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:16:00+00:00;ver_tv;0.350767;0.331;0.365;0.011584;0.34;0;0;0;75;75;75;0;1;30;1;16;480;16;84;2520;84;1;30;1;17;17;17;0;0;0;0;0;2;2;0;0;0;0.533333;16;1;2;2;0;0;0;0;0;0;1;30;1;0;0;0
2026-04-19 19:16:30+00:00;ver_tv;0.326233;0.297;0.363;0.021811;0.297;0;0;0;37.5;0;75;38.141072;0.5;15;1;9.066667;272;16;47.6;1428;84;0.5;15;1;8.5;0;17;8.64531;0;0;0;0;2;3;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0.566667;17;1;0.433333;13;1
2026-04-19 19:17:00+00:00;sin_act_habitacion;0.3112;0.274;0.354;0.023127;0.315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;1;30;1
